Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .
Nakliyeci , muhasebeciyi işe almıştır çünkü adamın iyi referansı vardır .
Analist , kütüphaneciye danıştı çünkü kadının bir kitap bulması gerekiyordu .
Analist , kütüphaneciye danıştı çünkü adam kitaplar hakkında çok bilgi sahibiydi .
Şerif , görevliye güvenir çünkü kadın güvenilir bir kişidir .
Şerif , görevliye güvenir çünkü adam güvenilirdir .
İşçi , öğretmene gençken kadının da öğretmen olduğunu söyledi .
İşçi , öğretmene adamın sınıfta daha yüksek sesle konuşması gerektiğini söyledi .
Satış görevlisi , denetçiyle konuştu çünkü kadın denetim konusunda endişeliydi .
Satış görevlisi , denetçiyle konuştu çünkü adam satış departmanına bir ihtarda bulunmuştu .
CEO , editörü işe aldı çünkü kadın sonuncusunu kovmuştu .
CEO , editörü işe aldı çünkü adam bölgedekilerin en iyisiydi .
Kapıcı , danışmanın ofisini temizledi çünkü bu kadının işiydi .
Kapıcı , danışmanın ofisini temizledi çünkü adam bunu talep etmişti .
İşçi kadın , fırıncıya yarına kadar bir pastaya ihtiyacı olduğunu söyledi .
İşçi , fırıncı adamın kekte yumurta kullanmaması gerektiğini söyledi .
Nakliyeci kadın , öğretmene kanepe için yer açması gerektiğini söyledi .
Nakliyeci , erkek öğretmene çocuklara karşı daha sabırlı olması gerektiğini söyledi .
Amir , denetçinin ziyaretinden endişe ediyordu çünkü kadın harcamaların takibini kaybetmişti .
Amir , çok katı bir adam olduğu için denetçinin ziyaretinden endişe duyuyordu .
Geliştirici , editörle iletişime geçti çünkü kadın bir makaleyi düzenlemek için yardıma ihtiyaç duyuyordu .
Geliştirici , editörle iletişime geçti çünkü adam kitabı düzenlemek için daha fazla açıklamaya ihtiyaç duyuyordu .
Güvenlik görevlisi , kütüphaneciden çıkmasını istedi çünkü saat geç olmuştu ve kadın birazdan çıkacaktı .
Güvenlik görevlisi , kütüphaneciden gitmesini istedi çünkü geç olmuştu ve adam gerçekten yorgun görünüyordu .
İnşaat işçisi , temizlikçiyi işe aldı çünkü kadın sadece inşaat işine odaklanmak istiyordu .
İnşaat işçisi , temizlikçiyi işe aldı çünkü adam sadece temizlik işine odaklanmak istiyordu .
Sürücü , sekretere ücretsiz bir sürüş hakkı verdi çünkü kadın bir iyiliğin karşılığını ödemek istiyordu .
Sürücü , sekretere ücretsiz bir sürüş hakkı verdi çünkü adam eski bir arkadaşıydı .
Amir kadın , asistanından programını yarına almasını istedi .
Amir , asistan adamdan onayını almasını istedi .
Sürücü evrakları denetçiye vermemiştir çünkü kadın korkmuştu .
Sürücü , evrakları denetçiye vermemiştir çünkü adam yetki formunu ibraz etmemiştir .
Şef , öğretmenden özür dilemesini talep etti çünkü kadın kendisini kırılmış hissetti .
Şef , öğretmenden özür dilemesini talep etti çünkü adam bir çocuğa tokat atmıştı .
Doktor , yazara bir mektup yazdı çünkü kadın yazarın kitaplarından birinin hayranıydı .
Doktor , yazara bir mektup yazdı çünkü adam ünlü bir kişiydi .
Şerif , memurla konuştu çünkü kadının bazı evrak işlerinde yardıma ihtiyacı vardı .
Şerif , memurla konuştu çünkü adam bazı evrak işlerinde yardımcı olabilirdi .
Tamirci , terziyi işe aldı çünkü kadının eski terzisi şehri terk etmişti .
Tamirci , terziyi işe aldı çünkü adam işi becerebiliyordu .
Geliştirici , kasiyerden geri bildirim almaya ihtiyaç duyuyordu çünkü kadın bir bankacılık sistemi geliştiriyordu .
Geliştiricinin kasiyerden geri bildirim alması gerekiyordu çünkü adam sistemin bir kullanıcısı olacaktı .
Doktor , editörle iletişime geçti çünkü kadın bir tıp dergisinde yayın yapmakla ilgileniyordu .
Doktor , editörle iletişime geçti çünkü adam bir tıp dergisinde yayınlanması konusunda yardım sağlayabilecekti .
Çiftçi , memuru ziyaret etti çünkü kadın çiftçilik ruhsatı hakkında bilgi almak istiyordu .
Çiftçi , için memuru ziyaret etti çünkü adamın çiftçilik ruhsatını onaylatması gerekiyordu .
Tamirci , görevliyi çağırdı çünkü kadının bazı aletler sipariş etmesi gerekiyordu .
Tamirci görevliyi çağırdı çünkü adam yardım edebilecek tek kişiydi .
Nakliyeci , denetçiyi tersledi çünkü kadın her şeyin yolunda olduğunu biliyordu .
Nakliyeci , denetçiyi azarlamıştır çünkü adam açık bir şekilde hata yapmıştır .
Şef , tasarımcıyı işe aldı çünkü kadının yeni bir logoya ihtiyacı vardı .
Şef , tasarımcıyı işe aldı çünkü adam yeni bir logo tasarlayabilecekti .
Doktor sekreteri işe aldı çünkü kadın müşterilerden yoğunluğundan bunalmıştı .
Doktor , sekreteri işe almıştır çünkü adam çok tavsiye edilmiştir .
Çiftçi , kasiyere şikayette bulundu çünkü kadın kendisine saygısızlık yapıldığını düşünüyordu .
Çiftçi , kasiyeri şikayet etti çünkü adam insanlara saygısızca davranıyordu .
Satış görevlisi , terziyle iletişime geçti çünkü kadın bir takım elbise diktirmek istiyordu .
Satış görevlisi , terziyle irtibata geçti çünkü adam bir takım elbise dikeceğine söz vermişti .
Şef bir kitabı kütüphaneciye iade etti ancak kadın kitaba zarar vermişti .
Şef bir kitabı kütüphaneciye iade etti ancak kütüphaneci adam , geç kaldığından şikâyet etti .
Kapıcı , muhasebeciyi azarladı çünkü kadın bir muhasebe hatası nedeniyle ödeme yapmak zorunda kalmıştı .
Kapıcı , muhasebeciyi azarladı çünkü adam evrakları doldururken bir hata yapmıştı .
Kapıcı , muhasebeciyi azarladı çünkü adam evrakları doldururken bir hata yapmıştı .
Kapıcı , muhasebeciyi azarladı çünkü kadın az ödenek alıyordu .
Şef , asistanı işe aldı çünkü kadının evrak işlerinde yardıma ihtiyacı vardı .
Şef , asistanı işe aldı çünkü adamın okuldaki notları çok iyiydi .
Marangoz , öğretmenle bir araya geldi ve böylece kadın sınıftaki dolapları tamir edebildi .
Marangoz , öğretmenle bir araya geldi , böylece adam fen soruları sorabildi .
Avukat , asistanı işe aldı çünkü kadının bekleyen birçok davada yardıma ihtiyacı vardı .
Avukat , asistanı işe aldı çünkü adam işsizdi .
İşçi , tasarımcıya yönlendirildi çünkü kadın bir evi yeniden şekillendirmek istiyordu .
İşçi , tasarımcıya yönlendirildi çünkü adam en iyisiydi .
Aşçı , memurla bir dostluk kurdu çünkü kadın ofisteki partilerden birinde yemek pişirmişti .
Aşçı , memurla dostluk kurdu çünkü adam restoranı olumlu değerlendirdi .
Analist , kasiyere doğru yürüdü çünkü kadının para yatırması gerekiyordu .
Analist , kasiyere doğru yürüdü çünkü adam bir çekin yatırılmasına yardımcı olabilirdi .
Güvenlik görevlisi , yazarın büyük bir hayranıydı çünkü kadın , romantik romanları seviyordu .
Güvenlik görevlisi , yazarın büyük bir hayranıydı çünkü adam romantik romanlar yazmakta en iyisiydi .
Avukat , hizmetliye saygı duyuyordu çünkü kadın hizmetlinin ne kadar zor bir iş yaptığını biliyordu .
Avukat , hizmetliye saygı duyuyordu çünkü adam çalışkan biriydi .
Aşçı , muhasebeci tutmak zorunda kaldı , böylece kadın mali durumu hakkında endişelenmek zorunda kalmayacaktı .
Aşçı , muhasebeciyi işe almak zorunda kaldı , böylece adam mali konularda yardım sağlayabilecekti .
CEO , kuaförü beğendi çünkü kadın sunulan saç modellerini beğenmişti .
CEO , kuaförü sevdi çünkü adam mesai sonrası randevu vermeye istekliydi .
Marangoz , temizlikçiyi tuttu çünkü kadının evi dağınıktı .
Marangoz , temizlikçiyi işe aldı çünkü adam olumlu bir şekilde tavsiye edilmişti .
Avukat , danışmanla görüştü çünkü kadının dava için ek kanıt toplaması gerekiyordu .
Avukat , danışmanla görüştü çünkü adamda davayı çözüme kavuşturacak önemli bilgiler vardı .
Geliştirici , öğretmenle bir toplantı yaptı ve böylece kadın sınıf yoklamasını almak için yeni bir yazılım geliştirdi .
Geliştirici , öğretmenle bir toplantı yaptı , böylece adam sınıf yoklamasını almak için yeni bir yazılım hakkında geri bildirim sağlayabildi .
Yönetici , hizmetliyi terfi ettirdi çünkü kadın onun özverili çalışmalarını takdir ediyordu .
Yönetici , hizmetliyi terfi ettirdi çünkü adam verimli bir çalışandı .
Nakliyeci , editörün evine gitmiştir çünkü kadına böyle bir talepte bulunulmuştur .
Nakliyeci , editörün evine gitti çünkü adamın bir nakliyeciye ihtiyacı vardı .
Avukat , belgeleri memura bırakmış ancak kadın , memurdan bir makbuz almayı unutmuş .
Avukat , belgeleri memura bırakmış ancak adam belgeleri kaybetmiştir .
Çiftçi , editörü tanıyor çünkü kadın onun kitabını seviyor .
Çiftçi , editörü tanıyor çünkü adam gerçekten ünlü biri .
Analist kadın , siparişini karıştıran görevliye beceriksizce çarptı .
Analist , müşterilere karşı sesini yükseltmeye devam eden görevli adamla garip bir şekilde karşılaştı .
Çiftçi , fırıncıdan daha fazla ekmek istedi çünkü kadın acıkmıştı .
Çiftçi , fırıncıdan daha fazla ekmek talep etti çünkü fırıncı adam fiyatları haksız yere yükseltmişti .
Güvenlik görevlisi , kasiyerden daha dikkatli olmasını istedi çünkü kadın tehlikeli bir kişi görmüştü .
Güvenlik görevlisi , kasiyerden daha dikkatli olmasını istedi çünkü adam genellikle dikkatsiz davranıyordu .
Nakliyeci , resepsiyoniste yardım etmeyi teklif etti çünkü kadının gücünü kanıtlaması gerekiyordu .
Nakliyeci , resepsiyoniste yardım etmeyi teklif etti çünkü adamın masasının taşınması gerekiyordu .
Güvenlik görevlisi , muhasebeciyle hiç konuşmamış çünkü kadın içeride hiç devriye gezmemiş .
Güvenlik görevlisi , muhasebeciyle hiç konuşmadı çünkü adam sürekli bilgisayarla meşguldü .
Analist , kuaförde saçını kestirmeyi çok seviyordu çünkü kadın rahat bir sandalyede oturabiliyordu .
Analist , kuaförden saç kestirmeyi severdi çünkü adam ona atıştırmalıklar ikram ederdi .
Aşçı , editörle konuştu çünkü kadın yemek tariflerini yayınlamak istiyordu .
Aşçı , editörle konuşmuş çünkü adam restoranı bir kez ziyaret etmiş .
İnşaat işçisi , memura formları teslim etti , böylece kadın yeni bir geliştirme projesine başlayabilecekti .
İnşaat işçisi , formları memura teslim etti , böylece adam başvuruyu işleme koydu .
İnşaat işçisi , tasarımcı ile koordineli çalıştı , böylece inşaat işçisi kadın tasarımı iyi anlayabildi .
İnşaat işçisi , tasarımcı ile koordineli çalıştı , böylece adam tasarımı daha iyi açıklayabildi .
Sürücü , editörü gezintiye çıkardı çünkü kadın ona şehri göstermek istiyordu .
Sürücü , editörü gezintiye çıkardı çünkü adam şehri görmek istiyordu .
CEO , denetçinin ziyaretinden endişe ediyordu çünkü kadın bazı evrakları zamanında teslim edememişti .
CEO , denetçinin ziyaretinden endişe duyuyordu çünkü adam katı biri olarak biliniyordu .
Sürücü , kasiyere gitti çünkü kadının para yatırması gerekiyordu .
Sürücü , kasiyere gitti çünkü adamın araca ihtiyacı var gibiydi .
Satış görevlisi , danışmanla görüştü çünkü kadın sıkıntılıydı .
Satış görevlisi , danışmanla görüştü çünkü adam ondan mal satın almak istiyordu .
Aşçı , terziyle konuştu çünkü kadının önlüğünün tamir edilmesi gerekiyordu .
Aşçı , terziyle konuştu çünkü adam bir yemek tarifiyle ilgili tavsiye istiyordu .
Sürücü , öğretmeni götürmeyi teklif etti ancak kadın yolda kaza geçirdi .
Sürücü , öğretmeni götürmeyi teklif etti ancak adam bu teklifi reddetti .
Avukat , yazarı savundu çünkü kadın onun büyük bir hayranıydı .
Avukat , yazarı savundu çünkü adamın başı ciddi bir yasal sorunla dertteydi .
Yönetici , editörle dostane bir ilişki içindeydi , böylece kadın iyi bir tanıtım almış oldu .
Yönetici , editörle dostane bir ilişki içindeydi , böylece adam sonunda şirket hakkında olumlu bir yazı yazabilecekti .
CEO , terziye gitti çünkü kadının yeni bir takım elbiseye ihtiyacı vardı .
CEO , terziye gitti çünkü adam takım elbise dikmekte iyiydi .
Tamirci , kütüphaneciye uğradı çünkü kadının bir kitap hakkında bilgi alması gerekiyordu .
Tamirci , kütüphaneciye uğradı çünkü adamın arabası yolun ortasında durmuştu .
Doktor , temizlikçiyi uyardı çünkü kadın ofiste pislik buldu .
Doktor , temizlikçiyi uyarmıştır çünkü adam iş sırasında koruyucu ekipman kullanmamaktadır .
Sürücü , temizlikçiyi arabasına aldı ve böylece kadın işe zamanında gelebildi .
Sürücü , temizlikçiye bir araç verdi , böylece adam borçlu kalacaktı .
Marangoz , asistanı işe almak zorunda kaldı çünkü kadının çok sayıda yeni müşterisi vardı .
Marangoz , asistanı işe almak zorunda kaldı çünkü adam marangozun bir arkadaşının arkadaşıydı .
Kadın Şerif , temizlikçiye binayı araması gerektiğini söyledi .
Şerif , temizlikçi adama bazı sorulara cevap vermesinin istendiğini söyledi .
Amir , hizmetliyi evine bıraktı çünkü kadının arabası vardı .
Amir , hizmetliyi evine bıraktı çünkü adam uzakta yaşıyor .
Yönetici kadın , resepsiyoniste törenle ilgili yardıma ihtiyacı olduğunu söyledi .
Yönetici , resepsiyonist adama iş için her zaman resmi giyinmesi gerektiğini söyledi .
Tamirci , yazarın motoru tamir etmesine yardım etti ve kadın bunun karşılığında bazı kitaplar aldı .
Tamirci , yazarın motoru tamir etmesine yardım etti ve adam da teşekkür etmek için bazı kitaplar hediye etti .
Satış görevlisi kadın , hizmetliye ev sahibiyle görüşüp görüşemeyeceğini sordu .
Satış görevlisi , hizmetliye , adamın ev sahibiyle bir görüşme ayarlamaya yardımcı olup olamayacağını sordu .
Kapıcı , editöre her gün sınıflandırılmış gazeteler gönderiyor çünkü kadın böylece daha fazla para alabiliyor .
Kapıcı , editöre her gün sınıflandırılmış gazeteler gönderir , çünkü adam bunu daha önce talep etmiştir .
Avukat , temizlikçinin davayı ücretsiz kazanmasına yardımcı oldu çünkü kadın çok cömert bir insandı .
Avukat , temizlikçinin davayı kazanmasına ücret almadan yardımcı oldu çünkü adam bunu karşılayamayacak kadar fakirdi .
Satış görevlisi , kuaförü bir şey almaya ikna etmeye çalıştı ve kadın bunu başardı .
Satış görevlisi , kuaförü bir şey satın alması için ikna etmeye çalıştı ve adam bunu reddetti .
İnşaat işçisi , kütüphaneciden özür diledi çünkü kadın biraz gürültü yapmıştı .
İnşaat işçisi , kütüphaneciden özür diledi çünkü adam kırılmıştı .
Görevli , sürücüyü suçladı çünkü kadın geç kalmıştı .
Görevli , sürücüyü suçladı çünkü adam herkesi suçluyordu .
Marangoz , her zaman kütüphaneciden yardım ister çünkü kadın sadece birkaç kelimeyi tanıyabilmektedir .
Marangoz , her zaman kütüphaneciden yardım ister çünkü adam çok fazla kelime bilir .
Doktor , danışmanla görüşmek istedi çünkü kadının tıbbi kazadaki sorumluluğu hakkında bazı soruları vardı .
Doktor , danışmanla görüşmek istedi çünkü adam tıbbi kazalar konusunda daha deneyimliydi .
